gender,age,ed,retire,income,creddebt,othdebt,default,marital,homeown
1,20,15,0,14,0.207564,0.380436,1,1,0
1,20,15,0,16,0.204672,0.451328,0,1,1
1,47,20,0,48,1.08504,5.49096,0,0,0
1,18,11,0,17,0.38148,0.74052,1,1,1
0,43,18,0,73,1.302685,1.836315,0,0,1
1,58,13,0,113,1.345604,24.531396,0,1,1
0,69,14,1,20,0.50728,0.85272,0,0,0
0,45,20,0,46,0.193154,0.680846,0,0,1
0,48,17,0,81,1.428111,0.758889,0,1,1
0,77,18,1,86,0.808056,14.155944,0,1,0
0,32,13,0,26,0.096096,0.449904,0,0,1
1,61,17,0,55,0.527175,3.377825,0,0,0
0,68,18,1,35,0.593915,1.891085,0,1,1
0,54,16,0,30,1.44801,3.74199,0,1,1
1,41,11,0,77,9.124038,8.354962,1,1,1
1,40,13,0,19,0.89262,1.31138,0,0,1
1,52,22,0,35,0.546595,2.848405,1,1,0
0,50,12,0,163,0.751104,4.464896,0,1,0
1,31,18,0,33,0.507045,0.647955,1,0,1
1,56,18,0,130,7.3723,6.4077,0,1,1
0,20,15,0,19,0.969969,3.229031,1,0,0
0,41,19,0,273,21.405384,32.648616,1,0,1
1,56,14,1,12,1.040076,1.035924,0,1,0
1,57,12,0,88,1.37368,4.78632,0,1,0
1,44,17,0,62,3.051578,2.094422,0,1,1
0,47,19,0,76,3.343392,10.944608,0,0,0
1,54,19,0,59,0.45135,3.97365,0,1,1
1,24,11,0,21,0.334719,0.988281,0,0,1
1,36,15,0,63,2.516976,8.571024,1,1,1
0,27,15,0,16,0.256096,1.439904,0,1,1
0,69,15,1,15,0.834,0.366,0,1,0
1,70,17,1,88,0.527384,0.616616,0,0,1
1,25,18,0,12,0.811008,1.492992,1,0,1
0,67,11,1,68,5.425584,7.018416,0,1,1
1,45,18,0,53,2.195154,4.005846,1,1,0
1,48,14,0,186,13.976784,9.087216,1,1,1
0,27,15,0,23,1.342694,0.980306,1,1,0
0,48,13,0,36,0.46728,0.32472,0,0,1
0,31,13,0,70,3.03639,0.95361,1,0,0
1,30,15,0,82,0.169904,2.126096,1,0,1
1,49,16,0,60,0.8631,1.2369,0,1,1
1,44,10,0,80,1.30832,0.77168,0,1,1
0,64,18,1,11,0.23562,0.88638,0,0,1
1,39,17,0,22,0.26312,2.26688,1,0,0
1,33,19,0,49,1.634934,1.648066,1,0,1
0,63,15,0,44,1.7193,1.5807,0,1,0
1,48,18,0,31,1.207016,6.480984,1,1,1
0,41,13,0,38,0.318592,4.659408,0,1,1
0,30,18,0,22,0.47795,1.26005,0,0,1
1,32,14,0,21,0.06867,0.24633,1,1,0
0,30,20,0,90,0.702,1.458,1,0,1
0,20,15,0,22,0.57904,0.65296,1,1,1
0,71,17,1,40,2.2378,0.4422,0,1,0
1,59,21,0,53,0.922412,3.105588,0,1,0
1,27,14,0,35,0.835135,2.909865,1,1,1
0,63,16,0,52,1.825928,3.218072,1,1,1
1,35,20,0,46,3.01576,3.83824,1,1,0
0,18,13,0,17,1.024335,0.726665,1,0,0
0,77,10,1,9,0.176337,0.390663,0,1,0
1,67,10,0,22,1.00551,2.62449,0,1,1
0,21,16,0,27,0.044145,0.360855,0,0,0
0,77,12,1,17,0.014433,0.036567,0,1,0
0,47,13,0,53,3.528104,2.089896,1,1,0
1,52,15,0,76,5.41044,11.76556,0,1,1
0,23,14,0,39,1.080066,7.772934,1,1,1
0,34,11,0,38,0.32604,4.61396,1,0,1
1,19,14,0,21,0.936936,1.247064,1,1,0
1,28,18,0,39,0.748917,0.694083,1,1,0
0,67,20,0,130,2.691,12.259,0,0,1
0,18,13,0,13,0.17641,1.31859,1,1,0
0,23,15,0,19,1.062651,2.376349,0,0,0
1,63,13,0,23,0.345092,2.437908,0,0,1
1,58,11,0,59,3.093842,6.759158,0,1,1
1,30,16,0,25,0.22625,0.39875,0,1,1
1,25,18,0,45,1.37214,1.59786,1,1,1
0,36,12,0,45,0.88893,2.84607,1,0,0
1,68,19,0,24,0.59436,2.45364,0,1,0
1,54,14,0,40,1.2672,0.9328,0,1,1
0,32,19,0,81,3.435372,4.016628,0,1,1
0,51,13,0,22,0.12771,0.81829,0,1,1
1,20,15,0,24,0.284256,1.227744,1,0,0
0,23,9,0,15,0.31959,1.27041,1,1,0
0,18,9,0,18,0.16461,0.89739,0,0,0
0,49,11,0,76,7.116336,4.511664,0,0,0
1,30,19,0,39,2.58453,6.58047,1,0,1
1,48,14,0,41,1.049928,2.927072,0,0,1
1,22,17,0,14,0.539784,0.594216,1,1,1
1,26,17,0,82,1.391376,6.890624,1,1,1
0,61,11,0,232,3.4742,2.3258,0,1,1
0,33,22,0,57,0.975612,1.532388,0,0,1
1,75,19,1,11,0.391776,1.357224,0,0,1
0,30,17,0,30,0.32604,1.95396,0,0,1
1,23,16,0,26,0.348894,0.353106,1,1,1
0,32,13,0,34,0.1802,0.4998,0,0,0
1,33,14,0,31,0.631098,1.786902,0,0,0
1,47,13,0,113,6.685419,5.857581,1,0,0
1,77,10,1,22,0.160952,1.203048,0,1,1
1,25,12,0,15,1.16883,0.49617,1,1,0
1,18,13,0,19,1.400376,1.411624,1,1,0
0,61,13,0,38,0.399456,5.148544,0,0,1
0,19,11,0,18,0.643356,1.354644,1,0,0
0,54,17,0,77,1.05105,2.79895,0,0,1
0,32,14,0,22,0.263296,3.850704,1,0,0
1,60,12,0,36,0.192024,0.311976,0,1,1
0,79,21,1,16,0.670384,1.617616,0,1,0
1,32,14,0,23,0.41975,2.45525,1,0,0
0,18,12,0,16,0.034176,0.061824,1,0,0
1,23,13,0,15,0.39123,0.82377,1,0,0
0,24,13,0,24,0.64848,1.03152,1,0,1
0,28,17,0,34,0.18258,0.32742,1,1,0
1,24,15,0,25,1.5606,0.9894,1,0,1
0,29,11,0,30,1.79916,1.02084,0,0,1
1,53,12,0,70,1.3797,0.5103,0,0,1
0,22,17,0,19,0.16834,0.21166,0,1,1
1,48,16,0,94,4.62057,3.55743,1,0,1
1,50,17,0,45,0.09711,1.07289,0,1,0
0,21,16,0,20,1.142,0.858,1,0,0
0,63,15,0,45,0.2673,3.7827,0,1,1
0,78,11,1,107,4.510906,6.938094,0,1,1
1,27,14,0,26,0.480376,1.131624,0,1,1
1,26,14,0,20,1.09032,1.54968,1,1,1
1,45,12,0,30,1.08855,2.60145,1,1,1
0,54,12,0,30,4.2222,0.4278,0,1,1
0,51,14,0,56,0.594048,1.309952,0,1,1
1,77,14,1,33,0.701778,1.344222,0,1,0
0,18,13,0,15,0.84303,0.86697,1,1,1
1,51,14,0,75,1.592175,3.732825,0,1,1
0,29,13,0,21,2.13528,3.07272,1,1,0
0,56,11,0,35,0.4403,1.9397,0,0,1
0,73,15,0,34,3.39405,2.21595,0,1,1
0,60,17,0,57,2.839683,1.549317,0,1,1
0,67,16,0,137,8.697856,8.838144,0,1,1
0,32,12,0,24,2.547072,0.908928,1,1,1
0,59,16,0,62,1.873764,7.178236,0,0,1
0,43,9,0,59,3.412442,3.726558,0,1,0
1,76,11,1,9,0.130572,0.148428,0,0,1
1,30,12,0,56,0.40208,0.71792,1,1,1
0,68,16,1,14,0.047558,1.058442,0,0,0
0,56,14,0,49,0.32585,0.89915,0,1,0
1,38,20,0,34,0.80376,1.23624,0,0,0
0,18,13,0,23,0.994934,0.983066,1,0,1
0,77,17,1,160,0.9856,11.8144,0,0,1
0,61,13,0,105,2.7405,6.3945,0,1,1
0,33,17,0,47,4.92795,2.12205,1,0,0
1,68,14,0,39,2.525328,3.012672,1,0,0
1,78,15,0,38,0.124222,0.141778,0,0,0
0,30,14,0,45,2.87676,3.01824,1,1,0
0,71,15,0,33,1.058442,1.548558,0,1,1
1,67,16,0,28,0.174636,1.589364,0,1,1
0,50,20,0,166,2.33728,8.28672,0,1,1
1,63,11,0,44,0.77616,1.37984,0,1,1
1,38,16,0,88,3.663792,10.592208,0,0,0
0,26,10,0,20,1.74582,1.91418,1,0,1
0,57,12,0,44,2.270664,3.097336,0,0,1
1,27,18,0,38,1.673292,5.128708,0,0,0
1,73,10,1,14,0.224644,0.769356,0,1,1
1,50,18,0,109,3.413226,7.704774,0,1,1
1,60,12,0,72,0.268272,1.387728,0,1,1
0,57,17,1,13,0.149916,0.253084,0,0,1
0,59,21,0,300,8.1435,18.5565,1,0,1
0,57,7,0,62,3.76929,2.74071,0,1,1
0,28,18,0,32,0.417248,1.470752,0,0,1
0,25,19,0,15,0.065025,0.159975,1,1,1
1,23,17,0,26,1.302548,0.621452,1,0,1
0,27,10,0,24,2.23872,1.98528,1,0,1
0,38,10,0,34,0.134028,0.783972,0,1,1
1,66,12,0,72,0.84672,4.91328,0,0,1
0,45,20,0,19,0.52421,2.42079,1,0,0
1,76,9,1,11,0.371184,0.156816,0,0,0
1,36,15,0,29,0.905148,0.660852,1,0,1
0,67,19,1,12,0.3159,2.0241,1,1,0
0,40,20,0,30,0.6534,0.9966,0,0,1
1,26,15,0,16,0.37296,0.29904,1,1,1
0,39,17,0,50,2.4648,5.3352,1,0,0
1,59,16,0,34,0.38335,1.48665,0,1,1
1,41,14,0,104,0.006344,0.097656,0,0,1
0,41,14,0,59,0.047436,0.306564,0,0,1
0,71,14,0,179,18.978654,25.055346,1,0,1
0,21,16,0,31,0.77004,2.08196,1,0,0
0,65,15,0,273,9.86076,6.51924,0,0,1
0,36,12,0,26,0.883844,0.312156,0,0,0
1,19,14,0,14,1.3468,0.7252,1,1,0
1,45,18,0,32,0.10912,3.41088,0,1,1
0,47,16,0,185,9.4535,22.9215,1,0,1
1,39,19,0,80,1.254,20.746,0,1,0
1,22,17,0,20,0.7056,0.9744,1,0,0
1,21,14,0,17,0.77894,0.56406,1,0,1
1,37,13,0,82,8.187864,4.686136,1,1,0
1,43,17,0,33,1.88496,7.35504,0,0,1
1,28,16,0,26,0.233454,0.832546,0,0,0
0,18,12,0,19,0.118066,0.375934,1,0,0
0,43,9,0,113,12.729563,10.887437,1,0,1
0,19,14,0,15,0.536895,0.918105,1,1,1
0,61,15,0,17,0.45288,2.69212,1,1,1
0,29,15,0,15,0.22275,0.90225,0,1,1
1,56,11,0,72,0.40176,2.83824,0,0,1
0,46,20,0,131,3.862011,8.320989,1,1,1
1,69,10,0,67,2.177768,2.378232,1,1,0
0,46,12,0,37,0.209975,0.715025,0,1,0
1,46,16,0,33,2.00376,1.95624,0,0,1
1,50,12,0,86,4.64185,6.28015,1,1,0
0,74,12,1,11,0.23716,0.73084,0,1,1
1,29,13,0,16,0.316416,1.219584,1,1,1
1,44,19,0,139,4.075341,8.017659,1,1,1
1,32,17,0,25,0.45815,0.76685,1,0,0
0,38,19,0,23,0.591514,1.179486,1,0,0
1,33,13,0,27,1.266435,3.026565,0,1,0
1,20,15,0,42,0.665574,1.560426,1,1,0
0,29,13,0,31,0.64728,2.14272,0,0,0
1,27,20,0,27,0.943866,3.214134,1,1,1
0,73,11,1,17,0.48841,3.26859,0,0,0
1,25,13,0,24,0.897024,5.246976,1,0,1
0,53,20,0,42,0.26208,3.76992,0,1,1
0,29,11,0,39,0.227643,0.279357,0,0,0
1,66,8,1,24,0.464256,0.111744,0,0,1
1,46,11,0,45,1.7055,2.7945,1,0,0
0,69,13,0,40,1.81724,5.42276,1,0,0
1,71,19,1,21,0.23184,0.73416,0,0,1
1,31,17,0,18,1.574388,2.061612,1,0,1
0,26,11,0,24,1.33644,3.10356,1,0,0
1,27,19,0,91,0.494312,4.601688,1,0,0
1,50,9,0,25,0.1884,0.4116,0,1,1
1,37,18,0,61,0.690276,0.712724,0,0,0
0,53,15,0,83,14.31584,1.95216,1,0,1
1,64,15,0,54,0.36936,1.25064,1,0,1
1,50,13,0,45,5.713785,2.701215,0,0,1
0,27,15,0,21,0.768222,3.053778,1,0,0
1,22,14,0,37,4.657338,3.556662,1,1,1
1,29,12,0,21,0.15876,0.47124,0,0,1
1,74,12,1,79,2.008575,3.916425,0,0,0
1,76,11,1,16,0.24472,1.27528,0,1,1
0,20,15,0,31,0.5642,4.8608,0,0,1
1,79,17,1,9,0.33264,0.67536,0,0,1
0,34,9,0,23,0.14812,0.38088,0,0,1
1,52,14,0,158,12.29319,14.72481,1,0,1
0,56,17,0,106,9.148224,17.139776,1,1,1
0,78,18,1,9,0.441396,1.205604,0,1,0
0,40,11,0,54,3.733452,7.444548,1,0,0
0,32,15,0,32,0.856992,2.759008,0,1,1
0,34,12,0,35,2.82555,1.72445,1,0,1
0,56,18,0,60,0.2205,1.0395,0,1,1
1,31,10,0,29,0.304442,1.377558,0,0,1
0,22,17,0,36,0.433188,1.834812,0,1,1
1,26,21,0,22,0.47564,2.05436,1,0,0
0,45,20,0,134,12.168808,7.395192,1,1,1
1,68,13,1,15,1.273605,1.681395,0,0,0
1,28,18,0,45,1.15911,1.27089,1,0,0
1,52,11,0,47,0.132587,0.196413,0,1,1
1,36,12,0,31,0.124868,1.053132,0,1,1
1,36,17,0,45,1.52082,3.83418,1,1,0
0,23,18,0,13,0.74802,0.61698,1,1,1
1,48,14,0,46,2.08426,3.20574,1,1,1
1,37,20,0,61,1.3115,9.1805,1,1,1
1,28,20,0,61,1.990674,2.523326,1,0,1
1,35,19,0,26,0.8931,3.0069,0,0,0
1,47,14,0,79,2.709147,2.899853,0,0,0
1,37,14,0,38,1.680816,2.651184,1,1,1
1,45,13,0,70,0.9632,5.0568,0,0,0
0,26,21,0,55,1.776885,4.878115,0,0,0
0,51,11,0,40,2.7972,2.6028,0,0,1
1,36,16,0,148,23.48316,12.92484,1,1,1
1,32,15,0,39,2.932722,3.541278,0,1,1
0,30,18,0,30,1.6038,1.3662,1,1,1
0,68,15,1,58,0.613872,1.010128,0,0,1
1,56,21,0,58,0.397996,8.070004,0,1,0
0,66,13,1,18,0.199332,0.682668,0,1,0
0,74,11,0,103,5.918277,5.102723,0,1,0
1,30,20,0,46,3.42171,0.58029,1,1,1
1,60,10,0,121,1.036728,5.739272,0,0,0
1,59,15,1,17,0.218484,0.699516,0,1,1
0,64,9,0,52,0.0091,0.2509,0,1,1
1,41,11,0,31,0.302498,0.968502,0,0,1
1,62,19,0,112,0.532224,1.259776,0,1,1
1,67,15,0,45,1.123605,2.791395,0,0,1
0,23,14,0,23,0.621736,0.804264,1,1,1
1,37,14,0,29,0.347072,2.204928,0,0,0
0,18,13,0,15,0.37665,0.43335,1,0,1
1,70,18,0,123,0.613524,2.953476,0,0,1
0,62,19,0,27,0.264384,0.653616,0,1,1
0,20,15,0,17,0.459459,0.203541,1,1,1
0,34,21,0,24,0.873504,1.718496,0,0,1
1,27,15,0,24,0.396288,1.139712,0,0,1
0,66,17,0,66,0.880968,2.221032,0,1,1
1,21,13,0,17,0.282693,0.890307,0,0,0
0,78,21,1,24,2.089104,1.318896,1,1,1
1,41,13,0,97,13.052514,10.809486,1,0,1
0,49,16,0,138,3.025512,8.566488,1,0,0
0,21,15,0,20,0.387,2.193,1,0,1
1,72,12,1,9,0.105228,0.227772,0,1,0
1,75,16,0,32,0.2352,0.8848,0,0,1
0,74,12,0,50,0.468,1.782,0,1,1
1,29,22,0,31,0.106764,0.761236,1,1,1
1,43,17,0,115,8.12889,14.64111,1,1,1
0,29,17,0,48,0.55944,1.60056,1,0,1
0,18,13,0,16,0.513616,0.238384,1,0,0
1,35,18,0,57,5.177367,7.419633,1,0,1
0,40,18,0,39,1.240512,1.255488,0,1,1
1,57,9,0,75,1.88955,2.38545,0,0,1
0,51,12,0,23,0.75118,2.51482,1,0,0
0,21,12,0,24,1.435608,2.332392,1,1,1
1,51,14,0,35,3.41334,1.10166,1,0,0
0,48,14,0,92,4.325104,10.486896,1,1,0
1,74,13,1,23,0.407146,2.030854,0,1,1
0,20,9,0,15,0.27621,0.71379,0,0,0
0,49,12,0,50,4.27035,12.87965,0,0,0
0,58,10,0,71,0.720792,3.113208,0,1,1
1,59,19,0,28,0.138992,1.765008,0,0,0
1,48,11,0,23,2.051577,2.249423,1,0,1
1,51,15,0,122,0.80886,2.36314,0,1,0
1,69,13,0,100,2.4603,11.4397,0,1,1
0,48,10,0,140,21.40502,13.17498,1,0,0
1,39,17,0,54,5.83389,2.53611,1,1,1
1,59,13,0,26,2.233088,2.342912,1,0,1
1,32,13,0,50,0.3864,1.0136,0,0,1
1,73,20,0,77,3.808189,6.740811,0,0,1
0,37,13,0,16,0.653248,1.234752,1,0,0
0,46,13,0,30,1.443,1.557,0,1,0
1,47,11,0,31,1.47312,3.48688,0,1,1
1,48,10,0,28,0.4081,1.1319,1,1,1
1,47,10,0,68,5.40056,9.55944,1,0,1
1,47,17,0,132,5.71428,2.86572,0,0,1
0,67,16,0,26,0.89713,1.78087,0,1,1
1,32,12,0,35,0.22204,3.41796,0,1,0
0,48,20,0,27,1.08837,2.82663,1,1,0
0,72,16,1,10,0.31204,0.84796,1,0,0
1,74,12,0,255,5.62275,3.30225,0,0,0
1,42,16,0,71,1.413468,4.550532,0,1,1
1,79,11,1,46,0.733194,2.808806,0,0,0
1,77,15,1,48,0.489216,4.886784,0,0,1
0,18,13,0,15,0.225675,0.539325,1,1,1
0,45,20,0,112,6.066816,6.365184,1,1,1
0,19,12,0,16,1.0192,1.0608,1,1,0
1,30,20,0,71,0.572544,0.563456,0,0,1
1,26,21,0,89,2.085804,6.191196,1,0,1
0,49,12,0,51,3.779712,6.063288,0,1,0
0,18,13,0,20,0.42672,2.11328,1,0,1
0,67,12,0,39,0.61152,3.75648,0,0,0
1,45,18,0,105,3.36672,6.71328,0,0,1
1,36,16,0,21,0.74907,0.46893,1,1,1
1,18,13,0,14,0.31955,0.45045,1,0,1
0,43,19,0,52,1.0868,1.7732,0,1,1
1,27,21,0,114,10.054572,13.771428,1,1,1
0,22,12,0,16,0.604656,1.267344,0,0,0
1,32,14,0,30,0.10074,0.58926,0,0,0
0,38,20,0,33,0.9636,0.6864,0,0,1
1,22,10,0,22,0.80784,0.95216,1,0,1
1,79,17,1,18,0.408618,0.833382,0,0,0
0,62,18,0,84,0.85932,8.38068,0,0,0
0,22,17,0,28,0.517104,2.674896,0,0,1
1,63,15,1,49,2.162517,4.746483,0,1,0
0,36,16,0,38,1.626856,4.225144,1,1,0
0,39,14,0,19,0.473594,1.825406,1,0,1
0,71,11,1,11,0.140107,0.376893,0,1,0
0,20,15,0,45,0.5751,0.2349,0,0,0
1,28,17,0,46,2.035546,4.266454,1,0,1
1,33,19,0,57,3.141726,4.097274,1,1,0
0,57,21,0,780,35.2521,66.9279,1,1,1
0,23,15,0,28,0.11592,1.56408,1,0,1
1,30,11,0,29,1.31544,2.86056,0,0,0
0,24,15,0,61,0.5551,0.9699,1,0,1
1,79,13,1,24,0.376872,0.607128,0,0,0
1,59,19,0,44,3.42606,4.44994,0,0,0
0,50,12,0,27,0.100359,1.492641,0,0,1
1,67,19,1,22,0.08228,2.33772,0,0,1
0,48,20,0,226,6.056122,22.645878,1,1,1
1,22,12,0,18,1.722996,2.039004,1,0,1
0,72,20,1,27,1.319166,1.434834,0,0,0
1,69,17,1,10,0.0949,0.5551,0,0,0
1,25,16,0,16,0.140384,0.515616,0,1,1
1,21,13,0,40,3.5952,9.2448,1,0,1
0,51,14,0,73,1.014992,4.752008,0,0,1
0,26,19,0,35,1.19021,2.23979,1,1,1
1,20,12,0,18,1.245888,0.608112,1,1,0
0,54,17,0,47,3.346212,1.447788,1,0,1
0,51,19,0,62,1.029882,2.008118,0,0,1
1,49,19,0,97,2.855874,1.218126,0,1,1
0,54,12,0,80,0.9288,3.3912,0,1,1
1,27,16,0,21,1.102101,1.900899,1,0,0
0,70,20,0,61,0.671,2.379,0,0,1
1,24,19,0,31,1.490635,3.562365,1,1,1
1,59,18,0,75,3.61035,7.03965,0,1,1
1,48,14,0,124,4.8732,11.3708,0,0,1
0,66,12,1,11,0.218834,0.419166,0,0,0
1,33,11,0,38,2.05485,4.59515,1,1,1
1,21,16,0,20,0.74016,0.69984,0,1,1
1,38,15,0,84,2.955036,7.712964,1,1,1
0,50,21,0,89,0.684855,1.718145,0,0,1
0,42,18,0,62,3.234726,6.251274,1,0,0
0,74,16,0,106,5.035212,8.320788,0,0,1
1,59,18,0,61,0.751032,2.542968,0,1,1
1,63,19,0,97,3.23883,3.55117,1,1,1
0,71,16,0,96,5.626368,33.445632,1,1,1
1,62,11,1,14,1.100274,1.713726,0,1,1
0,22,10,0,21,1.857744,1.334256,1,1,1
1,77,10,0,21,1.328124,2.745876,0,0,1
0,32,18,0,35,0.55447,5.67553,0,0,1
1,66,15,1,50,2.2624,2.7876,0,1,1
1,24,13,0,25,3.1304,1.1696,1,1,1
1,24,19,0,23,0.039468,1.156532,0,1,0
1,46,13,0,89,3.1239,5.7761,0,0,0
0,64,19,0,42,4.452084,5.375916,0,0,0
1,67,11,0,166,16.12856,7.11144,1,0,0
1,22,17,0,29,1.549644,3.757356,0,0,1
1,25,15,0,32,1.642496,2.453504,0,0,1
1,68,14,1,10,0.3082,0.1518,0,1,0
0,55,20,0,208,9.208992,20.119008,1,1,1
0,37,14,0,85,7.829775,1.945225,1,1,1
1,22,16,0,24,0.4002,0.2958,1,1,1
1,21,14,0,29,1.068795,4.412205,1,0,0
1,56,16,0,37,4.29792,1.80708,0,0,0
0,18,13,0,12,1.422096,0.641904,1,0,1
1,33,9,0,32,0.286272,3.745728,1,1,1
0,24,19,0,64,0.616896,2.647104,0,0,1
1,26,15,0,100,4.0228,7.2772,1,1,0
1,32,16,0,30,2.41056,1.30944,1,0,0
1,60,19,0,142,15.107664,7.044336,1,0,1
0,47,17,0,96,4.913376,7.278624,0,1,0
1,72,19,1,9,0.322218,0.595782,0,0,1
0,19,13,0,22,0.92796,1.51404,1,0,0
1,74,13,0,34,3.96916,4.87084,0,1,1
1,32,20,0,37,1.543159,5.079841,1,0,1
0,24,19,0,32,0.231168,1.112832,1,1,0
1,20,15,0,20,0.18624,0.45376,1,0,1
1,38,18,0,49,4.95145,6.56355,1,0,1
0,18,13,0,13,0.067041,0.283959,1,0,0
1,25,12,0,20,0.1802,1.5198,0,1,1
0,31,14,0,30,2.51181,3.15819,1,1,0
0,24,14,0,46,1.409256,3.696744,1,1,1
0,26,16,0,35,1.8753,6.1047,1,0,1
0,53,18,0,35,7.494375,5.630625,1,1,1
0,41,14,0,51,5.77269,2.08131,1,0,1
0,60,18,1,26,1.894984,1.563016,0,0,1
1,21,16,0,19,0.69483,0.61617,1,0,1
1,19,14,0,22,0.521642,2.360358,1,1,0
1,51,15,0,174,9.643254,17.674746,1,1,1
0,56,12,0,81,3.157056,3.889944,0,0,0
0,79,13,1,15,0.59496,0.41004,0,1,1
1,32,20,0,81,0.971433,4.455567,0,1,1
1,30,13,0,50,2.65125,2.39875,1,1,0
0,59,13,0,39,1.158144,1.337856,0,1,1
1,21,16,0,14,0.870688,0.417312,1,0,1
0,40,12,0,31,0.402597,3.224403,0,0,0
1,27,16,0,30,0.0678,0.0822,1,1,1
1,49,16,0,44,0.219076,0.352924,0,0,0
0,40,16,0,33,0.8514,1.9866,1,0,0
0,36,19,0,46,1.90371,2.37429,0,0,1
0,37,11,0,24,0.04956,0.11844,1,1,1
1,62,16,0,74,4.08591,5.90409,0,1,1
0,36,10,0,47,0.521136,1.734864,0,1,1
0,73,11,1,12,0.16464,0.17136,0,0,0
1,25,18,0,24,1.386432,2.789568,1,1,0
1,29,13,0,29,2.251908,0.880092,1,1,0
0,41,9,0,21,0.336294,0.734706,0,0,0
1,68,14,1,20,0.2368,0.5632,0,0,1
1,56,10,0,22,1.7303,1.1297,0,0,0
0,19,14,0,21,1.008315,1.028685,0,0,1
1,43,16,0,58,1.170092,3.295908,1,0,0
0,20,12,0,21,0.365274,0.453726,1,1,1
1,36,15,0,60,1.21878,2.44122,0,1,1
0,23,10,0,29,0.455184,0.588816,0,1,1
0,75,17,0,108,3.55752,8.10648,0,0,1
1,24,18,0,15,0.94581,0.44919,0,0,0
1,19,14,0,20,0.9275,2.5725,1,1,1
0,42,16,0,44,1.332936,3.023064,1,1,1
0,37,14,0,34,0.00952,0.26248,0,1,0
0,39,15,0,76,0.090288,2.645712,0,0,1
0,52,14,0,20,0.5858,0.5742,0,0,1
1,61,10,0,123,0.460635,3.844365,0,0,1
0,30,14,0,65,0.85345,3.37155,0,0,0
0,23,12,0,20,0.47508,1.74492,0,0,0
1,25,12,0,20,0.94248,1.57752,1,1,1
1,27,14,0,78,1.3728,11.1072,1,0,1
1,23,15,0,14,0.53452,2.68548,1,1,1
1,68,14,1,9,0.29664,1.14336,1,0,0
